comment,num_of_likes
"FC Bayern -M 05 2:1 TSG - BVB. 1:3 WOB- SFC. 2:1 SGE - RB Leipzig 2:1 Dortmund muss gewinnen und Schützenhilfe brauchen wir von Wolfsburg,Frankfurt und Bayern dann ist CL noch möglich",2
"31.Spieltag 2024/25 Stuttgart Heidenheim 4:0 München Mainz 4:2 Hoffenheim Dortmund 1:3 Leverkusen Augsburg 4:1 Wolfsburg Freiburg 1:2 Kiel Gladbach 1:4 Frankfurt Leipzig 2:2 Bochum Union 1:4 Bremen Pauli 4:2",2
"Stuttgart - Heidenheim 2-1 Leverkusen - Augsburg 1-1 Bayern - Mainz 2-1 Hoffenheim - Dortmund 1-3 Wolfsburg - Freiburg 2-1 Kiel - Gladbach 1-3 Frankfurt - Leipzig 2-2 Bochum - Union 2-1 Bremen - Pauli 2-0",2
"Hey,mein Lieber Thiele❤vielen lieben Dank für deinen tollen Videos u.Stadienvlogs❤chapeau😊Liebe Grüße hier aus dem Sauerland❤😊",2
"Stuttgart vs Heidenheim 1:0 Bayern vs Mainz 4:1 Hoffenheim vs BvB 1:3 Leverkusen vs Augsburg 2:1 Wolfsburg vs Freiburg 1:1 Kiel vs Gladbach 1:0 Frankfurt vs Leipzig 4:2 Bochum vs Union 2:1 Bremen vs St.Pauli 1:1",2
"Die 2 Dänischen Trainer in Mainz u.Augsburg❤❤machen einfach einen tollen Job❤😊",2
"Stuttgart Heidenheim 2:0 Leverkusen Augsburg 1:1 Bayern Mainz 2:0 Hoffenheim Dortmund 1:3 Wolfsburg Freiburg 2:2 Kiel gladbach 0:2 Frankfurt Leipzig 2:1 Bochum Union Berlin 1:0 Bremen pauli 1:1",2
"Hoffenheim0, :5Dortmund",2
"Ich will die Tabelle gar nicht wissen wo wir wären würdest du nicht jede Woche gegen uns tippen haha",1
"Wolfsburg 3:1Freiburg",1
"Bayern4, :0Mainz, 05",1
"VfB Stuttgart - Heidenheim 3:1 Bayern München - Mainz 05 2:2 Hoffenheim - Bor. Dortmund 1:2 B.Leverkusen - FC Augsburg 3:0 VfL Wolfsburg - SC Freiburg 2:1 Hols. Kiel - Bor. M'Gladbach 0:2 Eintr. Frankfurt - RB Leipzig 3:2 VfL Bochum - Union Berlin 2:1 Werd. Bremen - FC St. Pauli 2:0",1
"Stuttgart Heidenheim 2-0 Bayern Mainz 3-2 Hoffenheim Dortmund 1-3 Leverkusen Augsburg 2-1 Wolfsburg Freiburg 0-1 Kiel Gladbach 1-2 Frankfurt Leipzig 2-2 Bochum Union 1-0 Bremen St Pauli 0-0",1
"Werder wird am Ende 4ter nächstes Jahr ballert Werder dann jeden Schmutz in der CL weg 🎉🎉🎉🎉nur der SVW",1
"Stuttgart vs Heidenheim: 4:0 Bayern vs Mainz: 3:1 Hoffenheim vs Dortmund: 1:3 Leverkusen vs Augsburg: 2:0 Wolfsburg vs Freiburg: 1:1 Kiel vs Gladbach: 2:2 Frankfurt vs Red Bull Leipzig: 2:2 Bochum vs Union: 1:1 Bremen vs St. Pauli: 2:1",0
"Schreibst Du die Texte, die Du da vorliest, eigentlich selbst? Wenn ja, in Ordnung... wäre trotzdem schöner einfach frei zu reden. Das wirkt ehrlich gesagt recht unnatürlich. ;)",0
"Hoffentlich gewinnt Leverkusen und Bayern verliert Wäre so wichtig für etwas Spannung im Meisterschaftskampf",0
"Stuttgart 3:1 Heidenheim Bayern 4:2 Mainz Hoffenheim 0:2 Dortmund Leverkusen 1:2 Augsburg Wolfsburg 1:2 Freiburg Kiel 1:2 Gladbach Frankfurt 2:2 Leipzig Bochum 1:1 Union Bremen 1:0 St. Pauli",0
"VfB Stuttgart wird 3 zu 1 gewinnen",0
"Sehr gute Tipps bei Spieltag 30!",0
"Nehme ich so mein lieber.....😊⚫️⚪️🔴",0
"Bravo 👏🏻da hattest du ja mal recht das wir gegen Dortmund verloren haben 🤬",0
"VFB. - FCH 3 - 0 FCB. - M05 3 - 1 TSG. -BVB 1 - 2 LEV. - FCA 2 - 1 WOB. - SCF 1 -1 KIEL. - BMG 2 - 1 SGE. - RBL 1 - 1 BOC. - FCU 1 - 2 SVW. - STP 2 - 0",0
"Moin ich gehe mit bei deinem Tipps bis auf Werder die gewinnen 2 1 gruss Stefan",0
"I want to join the patrion",3
"Nice video brother continue posting!",2
"We want Stefan and manu bundesliga prediction. next season",1
"Leverkusen are playing terrible I wouldn't back them",0
"Stuttgart 2-2 Heidenheim Bayern 1-0 Mainz Bayern Leverkusen 1-0 Augsburg Hoffenheim 1-3 Borussia Dortmund Holsten keil 2-4 Monchengledbach Wolfsburg 0-2 Freiburg Frankfurt 1-1 Leipzig Bochum 2-3 Union Berlin Werder bremen 1-2 St Pauli",0
"U don't have Telegram channel?",0
"Hast du Recht... Frankfurt-Leipzig kann unentschieden ausgehen...muss nicht immer einer gewinnen. 2:2 Spiel. Unentschieden bei Betano 4,05😂 habe gestern Hertha-Magdeburg unentschieden getippt. Hoffe HSV steigt auf😂. Mach weiter so!",2
"Radek, hab dich am #30 Spieltag vermisst! Würde mich auch freuen, wenn du wieder deine persönlichen Ergbeniss Tipps (Tippspiel) pro Spiel hinzufügst.",2
"Die Analyse zum Spiel Frankfurt- Leipzig war wirklich grottenschlecht Frankfurt 2 Klassen besser, und die hatten noch Mitleid mit RB",1
"In welcher ungefähren Höhe verwettest du Einsätze, wenn ich fragen darf? Damit man den Profit und das Risiko vielleicht besser einschätzen kann, bin da immer recht unsicher",1
"Leipzig hat auf mich erschreckend schwach und lustlos gewirkt. Kanns mir nicht vorstellen, dass Leipzig etwas mitnimmt.",1
"Hiiii Stuttgart 2:0 Heidenheim(2:1) Leverkusen 1:1 Augsburg(1:2) Bayern 3:1 Mainz Hoffenheim 0:3 Dortmund Wolfsburg 1:2 Freiburg Kiel 1:2 Gladbach(2:2) Frankfurt 1:0 Leipzig Bochum 0:0 Union(1:2) Bremen 0:1 Pauli(1:0) Sehr viele identisch Wir machen gegen Mainz alles klar💪(leverkusen kackt rein)",4
"Wäre Augsburg dieses Saison nicht so oft durch Fehlentscheidungen vom Schiedsrichter um so viele Punkte gebracht worden wäre Augsburg dieses Jahr safe international dabei anstatt jetzt an den letzten Spieltagen alles geben zu müssen Bremen, Mainz, Hoffenheim, Bayern mehr muss man da nicht sagen",1
"Stuttgart 1:0 Heidenheim Leverkusen 2:0 Augsburg Bayern 3:2 Mainz Hoffenheim 1:2 Dortmund Wolfsburg 0:3 Freiburg Kiel 3:1 Gladbach Frankfurt 1:1 Leipzig Bochum 1:1 Union Berlin Bremen 0:0 St.Pauli Hot takes: Kiel holt einen Heimsieg und wird 16. Bayerns Meisterschaft vertagt sich noch einmal Bremen gegen Pauli wird unspektakulär Die Tipps werden eh wieder komplett verloren sein am Ende... Tja.. 😊",1
"Hallo Schlonst,gehe bei deiner Beurteilung von Holstein voll mit ! Hätten sich die Störche adequat zu Anfang der Saison verstärkt wäre vielleicht mehr drin gewesen !Jetzt gilt es wenigstens den Relegationsplatz zu schaffen !!",1
"Hallo",0
"Ich freue mich 🤩",0
"Ich denke so einfach wird es Bayern nicht haben Mainz wird den Feuer unterm Hintern machen die haben die Chance nächste Saison CL zu spielen dass wollen die auch und dafür müssen die in München gewinnen ich denke es wird ein schönes spannendes Spiel Viel Glück Mainz",0
"Aus Bremer Sicht hoffe ich Pers.natürlich,das Freiburg,Dortmund,Mainz putzen.. bei einem Sieg von Werder❤Bremen😊",0
"Die Dänischen Trainer in Mainz u.Augsburg❤❤machen einen mega Job❤😊",0
"Gladbach Kiel der call ist komplett komisch, Gladbach gewinnt",0
"Stuttgart VS Heidenheim 3:2 Leverkusen VS Augsburg 0:0 Bayern VS Mainz 05. 4:0 TSG Hoffenheim VS Dortmund 0:1 Wolfsburg VS Freiburg 2:1 Kiel VS Mönchengladbach 1:3 Frankfurt VS Leipzig 2:1 Bochum VS Union Berlin 1:0 Bremen VS ST Pauli 1:1",0
"Oh nein hab ein ganz mieses Gefühl, wenn du für Union tippst haha. Hoffe aber das du recht hast und das wir gegen Bochum gewinnen!",0
"Kannst bitte mal mit dem ssv jahn regensburg versuchen das double zu holen",0
"Bochum 3:0 Union",0
"Ich finde deine Videos so cool mach weiter so 😊",0
"Werder-St.Pauli 1-2",2
"Leverkusen 2 Augsburg 1 ❤️🖤",0
"Sieg SGE 👍",0
"6 zu 0 für Pauli gegen Bremen scheiss Bremen",0
"4 zu 0 für den VFB Stutgart",0
"St Pauli bleibt drin",0
"VfB Stuttgart - Heidenheim 3:1 Bayern München - Mainz 05 2:2 Hoffenheim - Bor. Dortmund 1:2 B.Leverkusen - FC Augsburg 3:0 VfL Wolfsburg - SC Freiburg 2:1 Hols. Kiel - Bor. M'Gladbach 0:2 Eintr. Frankfurt - RB Leipzig 3:2 VfL Bochum - Union Berlin 2:1 Werd. Bremen - FC St. Pauli 2:0",0
"Bremen klatscht St. Pauli weg...2:0",0
"❤🤍 Auf gehts Mainzaaa",0
"Also ein Wunder von der Weser wäre mal wieder an der Zeit zu passieren. Von daher würde ich so tippen das Werder am Ende der 4 Spieltage mit 10 Punkten auf Platz 4 landet, das wäre dann wirklich ein noch deutlich größeres Wunder als das vom VFB letzte Saison, da der Kader von Werder meiner Meinung deutlich schwächer ist.",0
"Sehr interessantes Video 👍🏼",0
"💙🤍",0
"Stuttgart - Heidenheim 3-1 Leverkusen - Augsburg 2-0 Bayern - Mainz 3-2 Kiel - Gladbach 0-1 Hoffenheim - Dortmund 1-2 Wolfsburg - Freiburg 0-0 Frankfurt - Leipzig 1-1 Bochum - Union 2-3 Bremen - St.Pauli 2-1",2
"😂😂😂😂 ich glaube ich bin im Kindergarten 😂😂😂was für Tipps einfach nur lächerlich 😂😂😂",2
"Kommt eigentlich bald mal wieder ein Geometry Dash Video?",2
"VFB-FCH 1:1 LEV-FCA 2:2 FCB-M05 4:1 KSV-BMG 0:4 TSG-BVB 1:5 WOB-SCF 2:3 SGE-RBL 1:4 BOC-FCU 2:4 SVW-STP 1:3",1
"Stuttgart-Heidenheim 3:1 Leverkusen-Augsburg 2:2 Bayern-Mainz 2:0 Kiel-Gladbach 3:2 Hoffenheim-Dortmund 1:3 Wolfsburg-Freiburg 1:2 Frankfurt-Leipzig 1:1 Bochum-Union 1:2 Bremen-Pauli 2:1",1
"VfB Stuttgart Heidenheim 2:1",1
"Bayer Leverkusen FC Augsburg 4:1",1
"FC Bayern München 1FSV Mainz 05 1:3",1
"Kiel Burssia Mönchengladbach 1:1",1
"TSG Hoffenheim Borussia Dortmund 4:1",1
"VfL Wolfsburg SC Freiburg 2:2",1
"Frankfurt RB Leipzig 3:1",1
"VfL Bochum 1FC Union Berlin 0:3",1
"SV Werder Bremen FC St Pauli 2:1",1
"Bei Hoffenheim gegen Dortmund hast du 4:4 getippt. Krass. Und vor allem auch danach ist Union gegen Stuttgart 4:4 ausgegangen😂. Wenn der Tipp tatsächlich wahr wird von dir, dann bist du der größte Hellseher auf dieser Welt. Ich würde dir den Tipp gönnen, wenn der richtig ist.",1
"Dont stop believin' 💙🤍",1
"Stuttgart 3:1 Heidenheim Leverkusen 1:2 Augsburg Bayern 3:1 Mainz Kiel 1:2 Gladbach Hoffenheim 0:2 Dortmund Wolfsburg 1:2 Freiburg Frankfurt 2:2 Leipzig Bochum 1:1 Union Bremen 1:0 St. Pauli",0
"Stuttgart-Heidenheim 2:2 Leverkusen-Augsburg 2:1 Bayern-Mainz 3:2 Kiel-Gladbach 1:3 Hoffenheim-Dortmund 1:4 Wolfsburg-Freiburg 0:1 Frankfurt-Leipzig 2:2 Bochum-Union 2:1 Bremen-St. Pauli 1:1",0
"Für die neue Saison soll auch der Tolle gut aussehender Uwe mit Tippen bei der 2 und 3 Liga ohne ihn ist es langweilig",0
"993 Punkte nachdem 30. Spieltag Stuttgart-Heidenheim 2:1 b.Muenchen-Mainz 3:0 Hoffenheim-Dortmund 1:2 Leverkusen-Augsburg 2:1 Wolfsburg-Freiburg 1:2 Holstein Kiel-Gladbach 1:2 Frankfurt-Leipzig 2:1 Bochum-U.Berlin 0:1 Bremen-Pauli 2:1 2. in der Kicktipprunde und nur 2. Punkte hinter dem 1. Platz Wolfsburg-Freiburg Frankfurt-Leipzig diese beiden Begegnungen sind in der Tipprunde am Wichtigsten",0
"Leverkusen Augsburg 2:1 Bayern vs Mainz 4:1 Hoffenheim vs Dortmund 2:4 Wolfsburg vs Freiburg 1:1 Kiel vs M'gladbach 1:3 Frankfurt vs Leipzig 3:2 Bochum vs Union 2:1 Bremen vs St Pauli 2:1",0
"Doch da wird sich noch vieles ändern bei den Top 3",0
"Stuttgart - Heidenheim 3:1 Leverkusen - Augsburg 1:1 Bayern - Mainz 3:0 Kiel - Gladbach 1:2 Hoffenheim - Dortmund 1:3 Wolfsburg - Freiburg 2:3 Frankfurt - Leipzig 2:1 Bochum - Union 1:0 Bremen - St. Pauli 2:0",0
"was für 2 labertaschen......",0
"Stuttgart vs Heidenheim 3;1",0
"Servus habs wieder 👏👏👏Dankeschön Höre euch zwei gerne zu Macht weiter so",0
"Das heißt ""St.Pauli""!!!",0
"VfB Stuttgart - Heidenheim 3:1 Bayern München - Mainz 05 2:2 Hoffenheim - Bor. Dortmund 1:2 B.Leverkusen - FC Augsburg 3:0 VfL Wolfsburg - SC Freiburg 2:1 Hols. Kiel - Bor. M'Gladbach 0:2 Eintr. Frankfurt - RB Leipzig 3:2 VfL Bochum - Union Berlin 2:1 Werd. Bremen - FC St. Pauli 2:0",0
"3 -2 - 1 los gehts VFB. - FCH 3 - 1 FCB. - M05 2 - 0 TSG. - BVB 1 - 2 LEV. - FCA 2 - 1 WOB. - SCF 1 - 2 KIEL. - BMG 1 - 2 SGE. - RBL 2 - 2 BOC. - FCU 1 - 2 SVW. - STP 2 - 0",0
"Stuttgart Heidenheim 3:1 Leverkusen Augsburg 1:2 Bayern Mainz 05 2:1 Hoffenheim Dortmund 2:2 Wolfsburg Freiburg 2:1 Kiel Gladbach 0:3 Frankfurt Leipzig 3:2 Bochum Union Berlin 1:2 Bremen Pauli 1:1",0
"Spotify Podcast https://open.spotify.com/episode/5r1LuYY8xvKyWf9sHlh7he?si=wreFZo8HRCCm1XCqRycHLw",5
"JETZT auf Instagram Folgen und keine exklusiven Tipps und Spezialertten mehr verpassen 💎✅ https://www.instagram.com/professional.tipps/",5
"Free Telegram ✅ https://t.me/+bnVLvaKLfpU3MjQy",4
"Vielen Dank für den Gewinn Ich hatte dieses mal AUSNAHMSWEISE 2 Torschützen genommen, weil es in meiner Spielanalyse einen ungewöhnlich hohen Wahrscheinlichkeitswert dafür gab, dass nicht nur Undav, sondern auch Hollerbach treffen wird. Daher war der Gedankengang, dass wenn Undav trifft, vermutlich auch Hollerbach treffen wird. Ich finde, dass man einen Hollerbach-Treffer bei 4 Union-Toren auch hätte erwarten können 😅 🤠 In Sachen PSC ist es ja noch mal gut gegangen 😇🥰",3
"1:1 im Topspiel ... Sesko trifft wieder. RB auswärts einfach relativ harmlos.",1
"2:2 im Topspiel. Sesko trifft in einem sehr spannenden Spiel",1
"1:1 wird es im Topspiel ausgehen und ein tor wird sesko machen in einem sehr spannenden aber Torarmen Spiel",1
"Frankfurt gewinnt 2:0 (Ekiteke). Frankfurt hatte mal die ganze woche Zeit sich zu erholen und spielt für die CL und Leipzig ist einfach zu unkonstant.",1
"3:3 - Openda trifft. Krankes Spiel! Legendär. Das wird richtig spektakulär! Ich bin wirklich gespannt. Es wird keinen Sieger geben. Verrücktes Match. Ein insgesamt verdientes Remis. Das geht absolut in Ordnung.",1
"1-2 für RB openda, Etikette, sesko treffen",1
"Eintracht Frankfurt - Leipzig beide treffen klassisches 1:1",1
"Halbzeit unentschieden (0:0) Endstand Frankfurt (1:0), Torschütze wird nicht der Ekitike sein, vielleicht Knauf.",1
"2:1 Heimsieg für die Adler, Heimstark und Fokus weg von der EL nach dem Ausscheiden + Tor Ekitektetkete, um sich für die int. Bühne zu präsentieren",1
"3:1 Frankfurt, sie zeigen ihre Heimstärke und Ekitike bestätigt seine starke Form mit einer Bude.",1
"Ein 0:0; Leipzig wird auswärts sehr defensiv spielen, weswegen weder Frankfurt noch Leipzig ein Tor machen wird. Alles in allem rechne ich mit einer ziemlich langweiligen Partie.",0
"3:1 und ekitike doppelpack",0
"Frankfurt 1:3 Leipzig, Openda trifft für Leipzig. Insgesamt eine sehr starke Vorstellung von Leipzig, während Frankfurt zum Ende der Saison ein bisschen die Luft ausgeht.",0
"Moin, wollte nachfragen was du als Prognose hast für das Copa Del Rey Finale am Wochenende. Real Madrid spielt gegen Barcelona. Hast du eine wette für dieses spiel welche ich prematch anspielen kann?",0
"2,2 Ekitike trifft Wird ein offenes spiel mit hin und her Am ende gibt es ein unfaires X Leipzig wird stärker spielen als jeder denkt und frankfurt wird wackeln",0
"Ganz klar ein Sieg für Frankfurt und zwar mit 3-1. Erster Torschütze Etikete. Leipzig ist einfach zu unkonstant und wird in Frankfurt nichts mitnehmen können. 😅",0
"1:1 gewinnt Frankfurt und Ekitike hüttelt. Finde es nicht leicht das Spiel zu greifen aber Leipzig hat mir letzte Woche gegen Kiel gar nicht gefallen. Durch das Fehlen von Xavi Simons wirkten sie deutlich weniger kreativ als zuvor. Er wird zwar zurück kommen aber durch Frankfurts heimstärke sehe ich hier dennoch ein unentschieden",0
"2:2. Tor Sesko. Leipzig geht überraschend in Führung bringt diese aber nicht über die Zeit.",0
"2:2 Frankfurt gegen Leipzig; Frankfurt wird offensiv sehr gut sein, unter anderem auch weil sie sich für die CL qualifizieren wollen, aber Leipzig kämpft auch noch für ein Platz in der CL mit. Es wird dementsprechend ein sehr gutes Spiel mit vielen Toren, davon wird eins von Ekitiké.",0
"Frankfurt 1:2 Leipzig Bei Frankfurt ist die Luft raus, hat man in den letzten Spielen schon gesehen. Da hilft auch das Heimspiel nicht. Leipzig wird sich durchsetzen.",0
"2-0 für die Eintracht. Zuhause zeigt die Sge immer wieder was sie leisten kann und gegen wen sie gewinnen können. Die Eintracht hat zuletzt 2x die Null gehalten und Leipziger ist trotz Trainer Wechsel nicht so ganz gefestigt. Ekitike und Bahoya treffen.",0
"1:0 und Ekitike trifft. Obwohl es nicht viele Tore fallen, wird es ein sehr interessantes Duel. Frankfurt mit einem kleinen Heimvorteil wird sich die 3 Punkte sichern. Leipzig wird trotzdem ein gutes Spiel machen, dennoch treffen sie nicht",0
"Leipzig siegt hier tatsächlich mit 2:0 in Frankfurt. Damit rechnen die Wenigsten, aber genau so wird es kommen und passieren. Frankfurt wird schon Torchancen haben, diese jedoch leichtfertig vergeben. Verdienter Sieg für RB. Batshuayi wird treffen.",0
"Frankfurt setzt sich mit 2:1 gegen RB durch und darf auf die Champions League hoffen. Ekitiké darf sich über ein Tor freuen",0
"Das Spiel wird zäh und ausgeglichen sein. Dennoch macht Ekitike das goldene Tor zum 1:0 Heimsieg der Frankfurter",0
"Das Spiel wird 1:1 enden und beide Teams nicht zufrieden stellen. Ekitike wird unter den Torschützen sein",0
"0:1 - Ich denke Leipzig holt sich einen knappen Auswärtssieg mit einen Tor von Xavi Simons",0
"1:0; Es wir torarm. Ab jetzt zählt jedes Tor, jeder Punkt. Ekitike trifft.",0
"Das Spiel wird 1:1 enden. Beide Teams treffen, Götze macht ein Tor. Ein verdientes und leistungsgerechtes Remis ohne Sieger. Ich freue mich auf das Spiel. Beide werden einige Torchancen liegen lassen.",0
"3:2 Heimsieg für Eintracht Frankfurt. Es wird ein interessantes und turbulentes Fußballspiel mit vielen Toren. Dazu wird es noch weitere Großchancen geben. Ekitike wird treffen, der Mann ist einfach gut und stark. Ein enger Sieg für Frankfurt, aber hochverdient.",0
"2:0 Heimsieg für Frankfurt. Batshuayi wird einen Treffer beisteuern. Leipzig wird einiges liegen lassen, deshalb geht der Sieg für Frankfurt unterm Strich dann in Ordnung. Tolles Spiel, verdienter Heimsieg.",0
"Frankfurt 2:1 Leipzig - Torschütze: H. Ekitike - Grundsätzlich ist das Spiel schnell analysiert. Leipzig hat in der Vergangenheit kaum eine Chance auf einen Auswärtssieg gehabt und das sehe ich auch heute so. In einer umkämpften und wilden Partie geht am Ende die Heimmannschaft verdient als Sieger vom Feld. Auch wenn X. Simons zurück ist, allerdings kann der Junge halt nicht alles alleine machen 😉Da auf der anderen Seite Ekitike genau solche Spiele liebt, wird er heute auch mindestens 1x treffen 🤠",0
"Knapper 0:1 Auswärtssieg für Leipzig. Sie siegen jetzt mal wieder nach dem peinlichen Remis gegen Kiel. Torschütze: Openda. Wieder bekleckert sich RB nicht mit Ruhm, aber der Sieg geht dieses Mal in Ordnung. Frankfurt geht im Saisonendspurt so langsam aber sicher die Luft aus.",0
"Dieses Spiel wird mit einem knappen aber verdienten 1:0 für die Eintracht aus Frankfurt enden. Ekitike wird das Tor des Tages erzielen. Der Sieg geht absolut in Ordnung und ist verdient. Leipzig ist einfach nicht gut drauf und spielt eine merkwürdige und schwache Saison.",0
"0:0 - torlose und ereignisarme Partie. Keine Tore, deshalb logischerweise auch kein Torschütze von mir. Insgesamt geht das Remis für beide Seiten absolut in Ordnung.",0
"2:2, Ich glaube, es wir torreich. Ekitike trifft. Beide müssen für europäische Plätze klotzen.",0
"1:1 lautet mein Tipp, ich sage Sesko trifft. Beide Teams erzielen ne Bude. Es wird ein interessantes Spiel mit vielen vergebenen Torchancen und ohne einen Sieger. Ich bin sehr gespannt und freue mich auf dieses Match. Ein Remis der besseren Sorte!",0
